emoticon,english_translation,arabic_translation
:[(\\)],"Skeptical, annoyed, undecided, uneasy or hesitant",متشكك ، منزعج ، متردد ، مضطرب أو متردد
=/,"Skeptical, annoyed, undecided, uneasy or hesitant",متشكك ، منزعج ، متردد ، مضطرب أو متردد
=[(\\)],"Skeptical, annoyed, undecided, uneasy or hesitant",متشكك ، منزعج ، متردد ، مضطرب أو متردد
:L,"Skeptical, annoyed, undecided, uneasy or hesitant",متشكك ، منزعج ، متردد ، مضطرب أو متردد
=L,"Skeptical, annoyed, undecided, uneasy or hesitant",متشكك ، منزعج ، متردد ، مضطرب أو متردد
:S,"Skeptical, annoyed, undecided, uneasy or hesitant",متشكك ، منزعج ، متردد ، مضطرب أو متردد
:‑\|,Straight face,وجه مستقيم
:\|,Straight face,وجه مستقيم
:$,Embarrassed or blushing,محرج أو خجل
:‑x,Sealed lips or wearing braces or tongue-tied,شفاه محكمة الغلق أو دعامات أو ربط اللسان
:x,Sealed lips or wearing braces or tongue-tied,شفاه محكمة الغلق أو دعامات أو ربط اللسان
:‑#,Sealed lips or wearing braces or tongue-tied,شفاه محكمة الغلق أو دعامات أو ربط اللسان
:#,Sealed lips or wearing braces or tongue-tied,شفاه محكمة الغلق أو دعامات أو ربط اللسان
:‑&,Sealed lips or wearing braces or tongue-tied,شفاه محكمة الغلق أو دعامات أو ربط اللسان
:&,Sealed lips or wearing braces or tongue-tied,شفاه محكمة الغلق أو دعامات أو ربط اللسان
O:‑\),"Angel, saint or innocent",ملاك ، قديس أو بريء
O:\),"Angel, saint or innocent",ملاك ، قديس أو بريء
0:‑3,"Angel, saint or innocent",ملاك ، قديس أو بريء
0:3,"Angel, saint or innocent",ملاك ، قديس أو بريء
0:‑\),"Angel, saint or innocent",ملاك ، قديس أو بريء
0:\),"Angel, saint or innocent",ملاك ، قديس أو بريء
:‑b,"Tongue sticking out, cheeky, playful or blowing a raspberry",اللسان بارز أو صفيق أو مرح أو ينفخ التوت
0;\^\),"Angel, saint or innocent",ملاك ، قديس أو بريء
>:‑\),Evil or devilish,شرير أو شيطاني
>:\),Evil or devilish,شرير أو شيطاني
\}:‑\),Evil or devilish,شرير أو شيطاني
\}:\),Evil or devilish,شرير أو شيطاني
3:‑\),Evil or devilish,شرير أو شيطاني
3:\),Evil or devilish,شرير أو شيطاني
>;\),Evil or devilish,شرير أو شيطاني
\|;‑\),Cool,رائع
\|‑O,Bored,ضجر
:‑J,Tongue-in-cheek,اللسان في خده
#‑\),Party all night,حفلة طوال الليل
%‑\),Drunk or confused,سكران أو مشوش
%\),Drunk or confused,سكران أو مشوش
:-###..,Being sick,يكون مريض
:###..,Being sick,يكون مريض
<:‑\|,Dump,تفريغ
\(>_<\),Troubled,مضطرب
\(>_<\)>,Troubled,مضطرب
\(';'\),Baby,طفل
\(\^\^>``,Nervous or Embarrassed or Troubled or Shy or Sweat drop,متوتر أو محرج أو مضطرب أو خجول أو عرق
\(\^_\^;\),Nervous or Embarrassed or Troubled or Shy or Sweat drop,متوتر أو محرج أو مضطرب أو خجول أو عرق
\(-_-;\),Nervous or Embarrassed or Troubled or Shy or Sweat drop,متوتر أو محرج أو مضطرب أو خجول أو عرق
\(~_~;\) \(・\.・;\),Nervous or Embarrassed or Troubled or Shy or Sweat drop,متوتر أو محرج أو مضطرب أو خجول أو عرق
\(-_-\)zzz,Sleeping,النوم
\(\^_-\),Wink,غمزة
\(\(\+_\+\)\),Confused,مشوش
\(\+o\+\),Confused,مشوش
\(o\|o\),Ultraman,الترامان
\^_\^,Joyful,بهيجة
\(\^_\^\)/,Joyful,بهيجة
\(\^O\^\)／,Joyful,بهيجة
\(\^o\^\)／,Joyful,بهيجة
\(__\),"Kowtow as a sign of respect, or dogeza for apology",Kowtow كدليل على الاحترام ، أو dogeza للاعتذار
_\(\._\.\)_,"Kowtow as a sign of respect, or dogeza for apology",Kowtow كدليل على الاحترام ، أو dogeza للاعتذار
<\(_ _\)>,"Kowtow as a sign of respect, or dogeza for apology",Kowtow كدليل على الاحترام ، أو dogeza للاعتذار
<m\(__\)m>,"Kowtow as a sign of respect, or dogeza for apology",Kowtow كدليل على الاحترام ، أو dogeza للاعتذار
m\(__\)m,"Kowtow as a sign of respect, or dogeza for apology",Kowtow كدليل على الاحترام ، أو dogeza للاعتذار
m\(_ _\)m,"Kowtow as a sign of respect, or dogeza for apology",Kowtow كدليل على الاحترام ، أو dogeza للاعتذار
\('_'\),Sad or Crying,حزين أو بكاء
\(/_;\),Sad or Crying,حزين أو بكاء
\(T_T\) \(;_;\),Sad or Crying,حزين أو بكاء
\(;_;,Sad of Crying,حزين البكاء
\(;_:\),Sad or Crying,حزين أو بكاء
\(;O;\),Sad or Crying,حزين أو بكاء
\(:_;\),Sad or Crying,حزين أو بكاء
\(ToT\),Sad or Crying,حزين أو بكاء
;_;,Sad or Crying,حزين أو بكاء
;-;,Sad or Crying,حزين أو بكاء
;n;,Sad or Crying,حزين أو بكاء
;;,Sad or Crying,حزين أو بكاء
Q\.Q,Sad or Crying,حزين أو بكاء
T\.T,Sad or Crying,حزين أو بكاء
QQ,Sad or Crying,حزين أو بكاء
Q_Q,Sad or Crying,حزين أو بكاء
\(-\.-\),Shame,عار
\(-_-\),Shame,عار
\(一一\),Shame,عار
\(；一_一\),Shame,عار
\(=_=\),Tired,متعبه
\(=\^\·\^=\),cat,قط
\(=\^\·\·\^=\),cat,قط
=_\^=	,cat,قط
\(\.\.\),Looking down,انظر اسفل
\(\._\.\),Looking down,انظر اسفل
\^m\^,Giggling with hand covering mouth,يضحكون بيدك تغطي الفم
\(\・\・?,Confusion,الالتباس
\(?_?\),Confusion,الالتباس
>\^_\^<,Normal Laugh,ضحك عادي
<\^!\^>,Normal Laugh,ضحك عادي
\^/\^,Normal Laugh,ضحك عادي
\（\*\^_\^\*）,Normal Laugh,ضحك عادي
\(\^<\^\) \(\^\.\^\),Normal Laugh,ضحك عادي
\(^\^\),Normal Laugh,ضحك عادي
\(\^\.\^\),Normal Laugh,ضحك عادي
\(\^_\^\.\),Normal Laugh,ضحك عادي
\(\^_\^\),Normal Laugh,ضحك عادي
\(\^\^\),Normal Laugh,ضحك عادي
\(\^J\^\),Normal Laugh,ضحك عادي
\(\*\^\.\^\*\),Normal Laugh,ضحك عادي
\(\^—\^\）,Normal Laugh,ضحك عادي
\(#\^\.\^#\),Normal Laugh,ضحك عادي
\（\^—\^\）,Waving,التلويح
\(;_;\)/~~~,Waving,التلويح
\(\^\.\^\)/~~~,Waving,التلويح
\(-_-\)/~~~ \($\·\·\)/~~~,Waving,التلويح
\(T_T\)/~~~,Waving,التلويح
\(ToT\)/~~~,Waving,التلويح
\(\*\^0\^\*\),Excited,فرح
\(\*_\*\),Amazed,مندهش
\(\*_\*;,Amazed,مندهش
\(\+_\+\) \(@_@\),Amazed,مندهش
\(\*\^\^\)v,"Laughing,Cheerful",يضحك ، مرح
\(\^_\^\)v,"Laughing,Cheerful",يضحك ، مرح
\(\(d[-_-]b\)\),"Headphones,Listening to music",سماعات ، الاستماع إلى الموسيقى
"\(-""-\)",Worried,قلق
\(ーー;\),Worried,قلق
\(\^0_0\^\),Eyeglasses,نظارة طبية
\(\＾ｖ\＾\),Happy,سعيدة
\(\＾ｕ\＾\),Happy,سعيدة
\(\^\)o\(\^\),Happy,سعيدة
\(\^O\^\),Happy,سعيدة
\(\^o\^\),Happy,سعيدة
\)\^o\^\(,Happy,سعيدة
:O o_O,Surprised,مندهش
o_0,Surprised,مندهش
o\.O,Surpised,مندهش
\(o\.o\),Surprised,مندهش
oO,Surprised,مندهش
\(\*￣m￣\),Dissatisfied,غير راض
\(‘A`\),Snubbed or Deflated,مغفل أو مفرغ من الهواء
